"Name","Value","Comment"
"B_Add.Content","जोड़ें","Add"
"B_AddBook.ToolTipService.ToolTip","नई पुस्तक डालें","Add new book"
"B_AddBookmark.ToolTipService.ToolTip","बुकमार्क जोड़ें","Add Bookmark"
"B_AddFolder.Content","फ़ोल्डर जोड़ें","Add folder"
"B_AddNote.ToolTipService.ToolTip","नोट जोड़े","Add Note"
"B_AddSite.ToolTipService.ToolTip","नई साइट जोड़ें","Add new site"
"B_AudioSettings.ToolTipService.ToolTip","ऑडियो सेटिंग्स","Audio settings"
"B_Back.Content","पीछे","Back"
"B_Back1.ToolTipService.ToolTip","पीछे","Back"
"B_Backup_Bkp.Content","बैकअप","Backup"
"B_Backup_Restore.Content","पुनर्स्थापित करें","Restore"
"B_Blog.ToolTipService.ToolTip","हमारा ब्लॉग पढ़ें","Read our blog"
"B_Bookmarks.ToolTipService.ToolTip","बुकमार्क्स","Bookmarks"
"B_Cancel.Content","रद्द करें","Cancel"
"B_ChngLog.ToolTipService.ToolTip","परिवर्तन लॉग","Change log"
"B_ClearHighlight.ToolTipService.ToolTip","हाइलाइट हटाएं","Clear highlight"
"B_Close.Content","बंद करे","Close"
"B_Close1.ToolTipService.ToolTip","बंद करे","Close"
"B_Collapse.ToolTipService.ToolTip","संक्षिप्त करें","Collapse"
"B_ColorMenu.ToolTipService.ToolTip","रंग मेनू","Color Menu"
"B_ContactSupport.ToolTipService.ToolTip","समर्थन से संपर्क करें","Contact support"
"B_Copy.ToolTipService.ToolTip","प्रतिलिपि","Copy"
"B_Credits.ToolTipService.ToolTip","श्रेय","Credits"
"B_Delete.Text","हटाएं","Delete"
"B_DeleteNote.ToolTipService.ToolTip","नोट हटाएं","Delete note"
"B_Done.ToolTipService.ToolTip","हो गया","Done"
"B_Downloads.ToolTipService.ToolTip","डाउनलोड","Downloads"
"B_ExitReadingMode.ToolTipService.ToolTip","पढ़ने के मोड से बाहर निकलें (Ctrl + E)","Exit Reading Mode (Ctrl + E)"
"B_Expand.ToolTipService.ToolTip","विस्तृत करें","Expand"
"B_ExportCollection.ToolTipService.ToolTip","संग्रह निर्यात करें","Export collections"
"B_Fb.ToolTipService.ToolTip","हमें फेसबुक पर पसंद करें","Like us on Facebook"
"B_Female.Content","स्त्री","Female"
"B_FilterFav.ToolTipService.ToolTip","पसंदीदा द्वारा फ़िल्टर करें","Filter by favorites"
"B_Forward.ToolTipService.ToolTip","आगे","Forward"
"B_General.Content","रीसेट","Reset"
"B_GitHub.ToolTipService.ToolTip","गिट हब","GitHub"
"B_Group.ToolTipService.ToolTip","समूह","Group"
"B_Highlight.ToolTipService.ToolTip","हाइलाइट","Highlight"
"B_Home.ToolTipService.ToolTip","गृह","Home"
"B_Information.ToolTipService.ToolTip","जानकारी","Information"
"B_JSInspect.ToolTipService.ToolTip","जेएस निरीक्षण","JS Inspect"
"B_LinkBack.ToolTipService.ToolTip","लिंक स्रोत पर वापस जाएं","Go back to link source"
"B_Mail.ToolTipService.ToolTip","ई-मेल","Mail"
"B_Male.Content","पुरुष","Male"
"B_MatchCase.ToolTipService.ToolTip","केस मिलाएं","Match case"
"B_MatchWWord.ToolTipService.ToolTip","पूरे शब्द का मिलान करें","Match whole word"
"B_Next.Content","आगे","Next"
"B_NextLine.ToolTipService.ToolTip","अगली पंक्ति (Ctrl + →)","Next Line (Ctrl + →)"
"B_NH.ToolTipService.ToolTip","नोट्स और हाइलाइट्स","Notes & Highlights"
"B_OpenBook.Content","किताब खोलें","Open Book"
"B_Pag1Cols.ToolTipService.ToolTip","पृष्ठवार 1 कॉलम","Paginated 1 column"
"B_Pag2Cols.ToolTipService.ToolTip","पृष्ठवार 2 कॉलम","Paginated 2 columns"
"B_PagVertical.ToolTipService.ToolTip","लंबवत स्क्रॉल","Vertical scroll"
"B_PreviousLine.ToolTipService.ToolTip","पिछली पंक्ति (Ctrl + ←)","Previous Line (Ctrl + ←)"
"B_PrivacyPolicy.ToolTipService.ToolTip","गोपनीयता नीति","Privacy policy"
"B_RateStore.ToolTipService.ToolTip","स्टोर पर रेट करें","Rate on store"
"B_ReadAloud.ToolTipService.ToolTip","पढ़ के सुनाएं - रीड अलाउड (Ctrl + R)","Read Aloud (Ctrl + R)"
"B_ReadAloud1.ToolTipService.ToolTip","पढ़ के सुनाएं - रीड अलाउड","ReadAloud"
"B_ReadAloudSettings.ToolTipService.ToolTip","रीड अलाउड सेटिंग्स","ReadAloud settings"
"B_Refresh.ToolTipService.ToolTip","रीफ़्रेश करें","Refresh"
"B_Remove.ToolTipService.ToolTip","हटाएं","Remove"
"B_Reset.ToolTipService.ToolTip","रीसेट","Reset"
"B_RmSyncFolderBtn1.Content","हां, लेकिन किताबें जरूर रखें","Yes, but keep books"
"B_RmSyncFolderBtn2.Content","हां, और किताबें हटा दें","Yes, and remove books"
"B_Save.Content","सहेजें","Save"
"B_Search.ToolTipService.ToolTip","खोजें","Search"
"B_Search1.ToolTipService.ToolTip","खोजें (Ctrl + F)","Search (Ctrl + F)"
"B_SearchWeb.ToolTipService.ToolTip","वेब पर खोजें","Search web"
"B_SelectFolder.ToolTipService.ToolTip","फ़ोल्डर चुनें","Select folder"
"B_SelectIcon.Content","आइकन चुनें","Select icon"
"B_ShowCB.ToolTipService.ToolTip","आदेश पट्टी दिखाएं","Show command bar"
"B_Sort.ToolTipService.ToolTip","क्रम से लगाएं","Sort"
