"Name","Value","Comment"
"B_Add.Content","添加","Add"
"B_AddBook.ToolTipService.ToolTip","添加新图书","Add new book"
"B_AddBookmark.ToolTipService.ToolTip","添加书签","Add Bookmark"
"B_AddFolder.Content","新增文件夹","Add folder"
"B_AddNote.ToolTipService.ToolTip","添加备注","Add Note"
"B_AddSite.ToolTipService.ToolTip","添加新网站","Add new site"
"B_AudioSettings.ToolTipService.ToolTip","音频设置","Audio settings"
"B_Back.Content","返回","Back"
"B_Back1.ToolTipService.ToolTip","返回","Back"
"B_Backup_Bkp.Content","备份","Backup"
"B_Backup_Restore.Content","从备份还原","Restore"
"B_Blog.ToolTipService.ToolTip","我们的博客","Read our blog"
"B_Bookmarks.ToolTipService.ToolTip","书签","Bookmarks"
"B_Cancel.Content","取消","Cancel"
"B_ChngLog.ToolTipService.ToolTip","更新记录","Change log"
"B_ClearHighlight.ToolTipService.ToolTip","清楚高亮墨迹","Clear highlight"
"B_Close.Content","关闭","Close"
"B_Close1.ToolTipService.ToolTip","关闭","Close"
"B_Collapse.ToolTipService.ToolTip","崩溃","Collapse"
"B_ColorMenu.ToolTipService.ToolTip","关闭菜单","Color Menu"
"B_ContactSupport.ToolTipService.ToolTip","联系支持","Contact support"
"B_Copy.ToolTipService.ToolTip","复制","Copy"
"B_Credits.ToolTipService.ToolTip","鸣谢","Credits"
"B_Delete.Text","删除","Delete"
"B_DeleteNote.ToolTipService.ToolTip","删除笔记","Delete note"
"B_Done.ToolTipService.ToolTip","完成","Done"
"B_Downloads.ToolTipService.ToolTip","下载","Downloads"
"B_ExitReadingMode.ToolTipService.ToolTip","退出阅读模式(Ctrl + E)","Exit Reading Mode (Ctrl + E)"
"B_Expand.ToolTipService.ToolTip","展开","Expand"
"B_ExportCollection.ToolTipService.ToolTip","导出集合","Export collections"
"B_Fb.ToolTipService.ToolTip","关注我们的Facebook","Like us on Facebook"
"B_Female.Content","女","Female"
"B_FilterFav.ToolTipService.ToolTip","按收藏夹筛选","Filter by favorites"
"B_Forward.ToolTipService.ToolTip","向前","Forward"
"B_General.Content","重置","Reset"
"B_GitHub.ToolTipService.ToolTip","GitHub","GitHub"
"B_Group.ToolTipService.ToolTip","组","Group"
"B_Highlight.ToolTipService.ToolTip","高亮","Highlight"
"B_Home.ToolTipService.ToolTip","主页","Home"
"B_Information.ToolTipService.ToolTip","详细信息","Information"
"B_JSInspect.ToolTipService.ToolTip","检查JS","JS Inspect"
"B_LinkBack.ToolTipService.ToolTip","返回链接源","Go back to link source"
"B_Mail.ToolTipService.ToolTip","邮箱","Mail"
"B_Male.Content","男","Male"
"B_MatchCase.ToolTipService.ToolTip","区分大小写","Match case"
"B_MatchWWord.ToolTipService.ToolTip","全字匹配","Match whole word"
"B_Next.Content","下一个","Next"
"B_NextLine.ToolTipService.ToolTip","下一行(Ctrl + 向右键)","Next Line (Ctrl + →)"
"B_NH.ToolTipService.ToolTip","高亮标记","Notes & Highlights"
"B_OpenBook.Content","开始阅读","Open Book"
"B_Pag1Cols.ToolTipService.ToolTip","分页一列","Paginated 1 column"
"B_Pag2Cols.ToolTipService.ToolTip","分页两列","Paginated 2 columns"
"B_PagVertical.ToolTipService.ToolTip","垂直滚动","Vertical scroll"
"B_PreviousLine.ToolTipService.ToolTip","上一行(Ctrl + 向左键)","Previous Line (Ctrl + ←)"
"B_PrivacyPolicy.ToolTipService.ToolTip","隐私政策","Privacy policy"
"B_RateStore.ToolTipService.ToolTip","商店价格","Rate on store"
"B_ReadAloud.ToolTipService.ToolTip","大声朗读(Ctrl + R)","Read Aloud (Ctrl + R)"
"B_ReadAloud1.ToolTipService.ToolTip","朗读","ReadAloud"
"B_ReadAloudSettings.ToolTipService.ToolTip","语音选项","ReadAloud settings"
"B_Refresh.ToolTipService.ToolTip","刷新","Refresh"
"B_Remove.ToolTipService.ToolTip","删除","Remove"
"B_Reset.ToolTipService.ToolTip","重置","Reset"
"B_RmSyncFolderBtn1.Content","是，但是保留图书","Yes, but keep books"
"B_RmSyncFolderBtn2.Content","是，并且删除图书","Yes, and remove books"
"B_Save.Content","保存","Save"
"B_Search.ToolTipService.ToolTip","搜索","Search"
"B_Search1.ToolTipService.ToolTip","搜索(Ctrl + F)","Search (Ctrl + F)"
"B_SearchWeb.ToolTipService.ToolTip","在网络上查找","Search web"
"B_SelectFolder.ToolTipService.ToolTip","选择文件夹","Select folder"
"B_SelectIcon.Content","选择图标","Select icon"
"B_ShowCB.ToolTipService.ToolTip","显示命令栏","Show command bar"
"B_Sort.ToolTipService.ToolTip","分类","Sort"
"B_Sync_Edit.ToolTipService.ToolTip","编辑","Edit"
"B_TextFormat.ToolTipService.ToolTip","文本格式","Text Format"
"B_TextStyle.ToolTipService.ToolTip","文本样式","Text Style"
"B_Theme1.Content","白色","White"
"B_Theme1.ToolTipService.ToolTip","白色(Ctrl + T + 1)","White (Ctrl + T + 1)"
"B_Theme2.Content","灰色","Silver"
"B_Theme2.ToolTipService.ToolTip","灰色(Ctrl + T + 2)","Silver (Ctrl + T + 2)"
"B_Theme3.Content","棕色","Sepia"
"B_Theme3.ToolTipService.ToolTip","棕色(Ctrl + T + 3)","Sepia (Ctrl + T + 3)"
"B_Theme4.Content","黑色","Night"
"B_Theme4.ToolTipService.ToolTip","黑色(Ctrl + T + 4)","Night (Ctrl + T + 4)"
"B_Theme5.Content","日晒","Solarized"
"B_Theme5.ToolTipService.ToolTip","日晒 (Ctrl + T + 5)","Solarized (Ctrl + T + 5)"
"B_Theme6.Content","自定义","Custom"
"B_TOC.ToolTipService.ToolTip","目录","Table Of Contents"
"B_ToggleFav.ToolTipService.ToolTip","切换收藏夹","Toggle Favorite"
"B_ToggleFullscreen.ToolTipService.ToolTip","全屏模式(F11)","Toggle Fullscreen (F11)"
"B_Translate.ToolTipService.ToolTip","翻译","Translate"
"B_Tw.ToolTipService.ToolTip","关注我们的Twitter","Follow us on Twitter"
"B_ZoomIn.ToolTipService.ToolTip","放大","Zoom In"
"B_ZoomOut.ToolTipService.ToolTip","缩小","Zoom Out"
"C_AddFolder_AddRecent.Content","将书籍添加到最近的列表","Add books to recent list"
"C_AddFolder_AutoRemove.Content","从文件夹中删除文件时，自动删除图书（包括笔记、高亮等）","Automatically remove books from the library (including notes, highlights, etc) when files are deleted from the folder"
"C_AddFolder_RecSearch.Content","递归搜索子文件夹","Recursively search sub-folders"
